功能编号,产品功能,PRD分册,主要依据（相对项目根目录）,备注
OBS-04,按需求追踪,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-05,用量大盘,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-06,消耗归因,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-07,日志时间流,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-08,日志需求分组,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-09,告警规则,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-10,告警评估与历史,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-11,通知送达,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
CTX-01,分层工作资料,10-决策历史与知识.md,docs/architecture/context-management.md；src/repomesh/modules/context/README.md,成熟度与原型边界见所属分册
CTX-02,版本与使用记录,10-决策历史与知识.md,docs/architecture/context-management.md；src/repomesh/modules/context/README.md,成熟度与原型边界见所属分册
CTX-03,最小资料分发,10-决策历史与知识.md,docs/architecture/context-management.md；src/repomesh/modules/context/README.md,成熟度与原型边界见所属分册
CTX-04,资料补充,10-决策历史与知识.md,docs/architecture/context-management.md；src/repomesh/modules/context/README.md,成熟度与原型边界见所属分册
CTX-05,独立动作权限,10-决策历史与知识.md,docs/architecture/context-management.md；src/repomesh/modules/context/README.md,成熟度与原型边界见所属分册
CTX-06,访问审计,10-决策历史与知识.md,docs/architecture/context-management.md；src/repomesh/modules/context/README.md,成熟度与原型边界见所属分册
CTX-07,结论转为共享知识,10-决策历史与知识.md,docs/architecture/context-management.md；src/repomesh/modules/context/README.md,成熟度与原型边界见所属分册
HIS-01,自然语言检索,10-决策历史与知识.md,frontend/src/pages/DecisionChainPage.tsx；docs/chenwenhui/决策链历史决策页-记录内容说明-2026-09-02.md,成熟度与原型边界见所属分册
HIS-02,需求定位,10-决策历史与知识.md,frontend/src/pages/DecisionChainPage.tsx；docs/chenwenhui/决策链历史决策页-记录内容说明-2026-09-02.md,成熟度与原型边界见所属分册
HIS-03,五步决策链,10-决策历史与知识.md,frontend/src/pages/DecisionChainPage.tsx；docs/chenwenhui/决策链历史决策页-记录内容说明-2026-09-02.md,成熟度与原型边界见所属分册
HIS-04,当前版本与旧版本,10-决策历史与知识.md,frontend/src/pages/DecisionChainPage.tsx；docs/chenwenhui/决策链历史决策页-记录内容说明-2026-09-02.md,成熟度与原型边界见所属分册
HIS-05,证据溯源,10-决策历史与知识.md,frontend/src/pages/DecisionChainPage.tsx；docs/chenwenhui/决策链历史决策页-记录内容说明-2026-09-02.md,成熟度与原型边界见所属分册
HIS-06,缺口与未到达,10-决策历史与知识.md,frontend/src/pages/DecisionChainPage.tsx；docs/chenwenhui/决策链历史决策页-记录内容说明-2026-09-02.md,成熟度与原型边界见所属分册
HIS-07,相似历史参考,10-决策历史与知识.md,frontend/src/pages/DecisionChainPage.tsx；docs/chenwenhui/决策链历史决策页-记录内容说明-2026-09-02.md,成熟度与原型边界见所属分册
CAP-01,能力目录,11-能力与运营管理.md,docs/development/capability-governance-spec.md；src/repomesh/modules/capability_management/README.md,成熟度与原型边界见所属分册
CAP-02,技能版本登记,11-能力与运营管理.md,docs/development/capability-governance-spec.md；src/repomesh/modules/capability_management/README.md,成熟度与原型边界见所属分册
CAP-03,评估与结果,11-能力与运营管理.md,docs/development/capability-governance-spec.md；src/repomesh/modules/capability_management/README.md,成熟度与原型边界见所属分册
CAP-04,小范围试用与发布,11-能力与运营管理.md,docs/development/capability-governance-spec.md；src/repomesh/modules/capability_management/README.md,成熟度与原型边界见所属分册
CAP-05,技能回退,11-能力与运营管理.md,docs/development/capability-governance-spec.md；src/repomesh/modules/capability_management/README.md,成熟度与原型边界见所属分册
CAP-06,能力组合快照,11-能力与运营管理.md,docs/development/capability-governance-spec.md；src/repomesh/modules/capability_management/README.md,成熟度与原型边界见所属分册
CAP-07,工具调用策略,11-能力与运营管理.md,docs/development/capability-governance-spec.md；src/repomesh/modules/capability_management/README.md,成熟度与原型边界见所属分册
CAP-08,工具健康与降级,11-能力与运营管理.md,docs/development/capability-governance-spec.md；src/repomesh/modules/capability_management/README.md,成熟度与原型边界见所属分册
OPS-01,容量总览,11-能力与运营管理.md,docs/development/operations-governance-spec.md；docs/development/operations-governance-check.md,成熟度与原型边界见所属分册
OPS-02,容量保护,11-能力与运营管理.md,docs/development/operations-governance-spec.md；docs/development/operations-governance-check.md,成熟度与原型边界见所属分册
OPS-03,接入限流,11-能力与运营管理.md,docs/development/operations-governance-spec.md；docs/development/operations-governance-check.md,成熟度与原型边界见所属分册
OPS-04,告警联动保护,11-能力与运营管理.md,docs/development/operations-governance-spec.md；docs/development/operations-governance-check.md,成熟度与原型边界见所属分册
OPS-05,多告警恢复,11-能力与运营管理.md,docs/development/operations-governance-spec.md；docs/development/operations-governance-check.md,成熟度与原型边界见所属分册
OPS-06,数据保留策略,11-能力与运营管理.md,docs/development/operations-governance-spec.md；docs/development/operations-governance-check.md,成熟度与原型边界见所属分册
OPS-07,统一定位,11-能力与运营管理.md,docs/development/operations-governance-spec.md；docs/development/operations-governance-check.md,成熟度与原型边界见所属分册
OPS-08,升级与恢复准备,11-能力与运营管理.md,docs/development/operations-governance-spec.md；docs/development/operations-governance-check.md,成熟度与原型边界见所属分册
EXT-01,仓库内提及助手,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-02,从入口发现多仓范围,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-03,确认指定计划并开工,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-04,状态评论与检查卡,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-05,仓库对话绑定,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-06,评审、修复与重试指令,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-07,专用需求入口,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-08,多托管平台入口,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-09,企业身份与账户完善,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-10,生产环境交付,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-11,交付证据导出,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
EXT-12,团队与资产退役,12-扩展能力与边界.md,docs/repository-native-delivery-prd-v0.1.md；docs/agentic-delivery-product-brief.md；frontend-prototype/DESIGN-DECISION-V2.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
